username;date;retweets;favorites;text;geo;location;mentions;hashtags;id;query;permalink
HTM_Reisinfo;2017-12-07 18:01;0;0;"Tram 16 richting Statenkwartier rijdt met vertraging .";;Den Haag;;;"938800639253123072";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/938800639253123072
HTM_Reisinfo;2017-12-07 17:08;0;0;"Tram 11 richting Scheveningen Haven - Strand rijdt met vertraging door een aanrijding bij de Weimarstraat.";;Den Haag;;;"938787187394514945";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/938787187394514945
HTM_Reisinfo;2017-12-07 08:40;0;0;"Nee, helaas nog niet. De werkzaamheden hebben vertraging opgelopen zullen nog tot begin 2018 duren. ^Said";;Den Haag;;;"938659573724073984";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/938659573724073984
HTM_Reisinfo;2017-12-07 00:29;0;0;"Tram 12 richting Duindorp rijdt weer de gebruikelijke route, maar houd nog rekening met vertraging";;Den Haag;;;"938535917538762753";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/938535917538762753
MatthewMeeuw;2017-12-06 23:21;0;0;"Wegens een medische situatie op de #paulkrugerlaan zullen tram 6 richting #leyenburg en 12 richting de #duindorp rijden met vertraging . @HTM _Reisinfo is aanwezig pic.twitter.com/iAnqKSlqy0";;Den Haag, Nederland;@HTM;#paulkrugerlaan #leyenburg #duindorp;"938518812185554944";HTM AND vertraging;https://twitter.com/MatthewMeeuw/status/938518812185554944
Teejooo;2017-12-06 20:21;0;0;"Ik begrijp hem helemaal maar wil ook laten zien dat een minuutje vertraging voor impact heeft.";;Amstelveen area;;;"938473465966886912";HTM AND vertraging;https://twitter.com/Teejooo/status/938473465966886912
NS_online;2017-12-06 20:06;0;0;"waardoor weer andere aansluitingen kunnen worden gehaald. helaas ben jij nu diegene die dit moest ondervinden, maar anders waren het 100 misschien wel 1000 andere reizigers die met vertraging verder moesten reizen. ^ET 2/2";;Utrecht;;;"938469720264773632";HTM AND vertraging;https://twitter.com/NS_online/status/938469720264773632
NS_online;2017-12-06 20:06;0;0;"Zeer spijtig dat mede door ons je vertraging moest ondervinden. Het is helaas niet altijd mogelijk om een trein op een andere vertraagde trein te laten wachten. Deze trein zal dan namelijk ook met vertraging vertrekken en de rest van de dag overal met vertraging aankomen 1/2";;Utrecht;;;"938469711943225345";HTM AND vertraging;https://twitter.com/NS_online/status/938469711943225345
HTM_Reisinfo;2017-12-06 19:43;0;1;"Bus 18 rijdt weer de gebruikelijke route, maar houd nog rekening met vertraging";;Den Haag;;;"938463860083904512";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/938463860083904512
HTM_Reisinfo;2017-12-06 16:57;0;0;"Hoi, alles is hetzelfde. Houdt alleen rekening met vertraging . ^Mike";;Den Haag;;;"938422071079636993";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/938422071079636993
